Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0   825  16  12   4  -1    33
   0   826  24  16   8  -1   826
   0   827  84  44  40  -1   827
   1   828   0   0  -1  -1    23
   1   829   0   0  -1  -1   829
   1   830   0   0  -1  -1   830
   1   831   0   0  -1  -1   831
   1   832   0   0  -1  -1    13
   0   833  16   4   0   4    17
   0   834  32  12   8  -1   834
   0   835  72  40  32  -1   835
   0   836  80  44  36  -1   209
   1   837   0   0  -1  -1    93
   1   838   0   0  -1  -1   838
   1   839   0   0  -1  -1   839
   2   840  16   8   0   2   210
   0   841   2   2   0   1     1
   0   842  52  20  12  -1   842
   0   843  72  32   8  -1   843
   0   844  36  20  16  -1   211
   1   845   0   0  -1  -1     5
   1   846   0   0  -1  -1    94
   1   847   0   0  -1  -1     7
   1   848   0   0  -1  -1    53
   0   849 112  68  44  -1   849
   2   850   8   4   0   2    34
   0   851 120  56   8  -1   851
   1   852   0   0  -1  -1   213
   1   853   0   0  -1  -1   853
   1   854   0   0  -1  -1   854
   1   855   0   0  -1  -1    95
   1   856   0   0  -1  -1   214
   0   857 128  72  56  -1   857
   0   858  32   8   0   4   858
   0   859  84  52  32  -1   859
   1   860   0   0  -1  -1   215
   1   861   0   0  -1  -1   861
   1   862   0   0  -1  -1   862
   1   863   0   0  -1  -1   863
   1   864   0   0  -1  -1     6
   0   865  64  40  24  -1   865
   2   866  88  44   0   2   866
   0   867   4   4   0   1     3
   0   868  32   8   0   4   217
   1   869   0   0  -1  -1   869
   1   870   0   0  -1  -1   870
   1   871   0   0  -1  -1   871
   0   872  20   4   0   5   218
   0   873  16   4   0   4    97
   0   874  40  16   8  -1   874
   0   875  24   8   0   3    35
   2   876  48  24   0   2   219
   1   877   0   0  -1  -1   877
   1   878   0   0  -1  -1   878
   1   879   0   0  -1  -1   879
   1   880   0   0  -1  -1    55
   0   881 160  88  72  -1   881
   0   882   2   2   0   1     2
   0   883  36  12   0   3   883
   1   884   0   0  -1  -1   221
   1   885   0   0  -1  -1   885
   1   886   0   0  -1  -1   886
   1   887   0   0  -1  -1   887
   1   888   0   0  -1  -1   222
   2   889  64  32   0   2   889
   2   890  48  24   0   2   890
   0   891  12   4   0   3    11
   1   892   0   0  -1  -1   223
   1   893   0   0  -1  -1   893
   1   894   0   0  -1  -1   894
   1   895   0   0  -1  -1   895
   1   896   0   0  -1  -1    14
   0   897  64  16   0   4   897
   0   898  24   4   0   6   898
   0   899 168  88  80  -1   899
   0   900   2   2   0   1     1
   1   901   0   0  -1  -1   901
   1   902   0   0  -1  -1   902
   1   903   0   0  -1  -1   903
   2   904  16   8   0   2   226
   2   905  96  48   0   2   905
   0   906  56  32  24  -1   906
   0   907  36  36   0   1   907
   0   908  60  28   4  -1   227
   1   909   0   0  -1  -1   101
   1   910   0   0  -1  -1   910
   1   911   0   0  -1  -1   911
   0   912  16  12   4  -1    57
   0   913  48  36  12  -1   913
   0   914  72  40  32  -1   914
   2   915  96  48   0   2   915
   1   916   0   0  -1  -1   229
   1   917   0   0  -1  -1   917
   1   918   0   0  -1  -1   102
   1   919   0   0  -1  -1   919
   1   920   0   0  -1  -1   230
   0   921  80  44  36  -1   921
   0   922  36  20  16  -1   922
   0   923 120  72  48  -1   923
   1   924   0   0  -1  -1   231
   1   925   0   0  -1  -1    37
   1   926   0   0  -1  -1   926
   1   927   0   0  -1  -1   103
   0   928   4   4   0   1    58
   0   929 144  68   8  -1   929
   0   930  48  16   0   3   930
   0   931  12   4   0   3    19
   0   932  48  20   8  -1   233
   1   933   0   0  -1  -1   933
   1   934   0   0  -1  -1   934
   1   935   0   0  -1  -1   935
   0   936  12   4   0   3    26
   0   937  80  44  36  -1   937
   0   938  32   8   0   4   938
   0   939  96  32   0   3   939
   0   940  24   8   0   3   235
   1   941   0   0  -1  -1   941
   1   942   0   0  -1  -1   942
   1   943   0   0  -1  -1   943
   0   944  36  20  16  -1    59
   0   945  32   8   0   4   105
   0   946  32  20  12  -1   946
   0   947  60  20   0   3   947
   1   948   0   0  -1  -1   237
   1   949   0   0  -1  -1   949
   1   950   0   0  -1  -1    38
   1   951   0   0  -1  -1   951
   1   952   0   0  -1  -1   238
   0   953 128  72  56  -1   953
   0   954  12   4   0   3   106
   0   955  48  16   0   3   955
   1   956   0   0  -1  -1   239
   1   957   0   0  -1  -1   957
   1   958   0   0  -1  -1   958
   1   959   0   0  -1  -1   959
   1   960   0   0  -1  -1    15
   0   961   2   2   0   1     1
   0   962  56  32  24  -1   962
   0   963  36  12   0   3   107
   0   964  48  28  20  -1   241
   1   965   0   0  -1  -1   965
   1   966   0   0  -1  -1   966
   1   967   0   0  -1  -1   967
   0   968   2   2   0   1     2
   0   969  96  56  40  -1   969
   0   970  24  16   8  -1   970
   0   971 180 100  80  -1   971
   0   972   4   4   0   1     3
   1   973   0   0  -1  -1   973
   1   974   0   0  -1  -1   974
   1   975   0   0  -1  -1    39
   1   976   0   0  -1  -1    61
   0   977  80  36   8  -1   977
   0   978  48  12   0   4   978
   0   979  96  40  16  -1   979
   1   980   0   0  -1  -1     5
   1   981   0   0  -1  -1   109
   1   982   0   0  -1  -1   982
   1   983   0   0  -1  -1   983
   1   984   0   0  -1  -1   246
   2   985  96  48   0   2   985
   0   986  88  48  40  -1   986
   2   987  96  48   0   2   987
   1   988   0   0  -1  -1   247
   1   989   0   0  -1  -1   989
   1   990   0   0  -1  -1   110
   1   991   0   0  -1  -1   991
   1   992   0   0  -1  -1    62
   0   993  48  20   8  -1   993
   0   994  32   8   0   4   994
   2   995  96  48   0   2   995
   0   996  48  20   8  -1   249
   1   997   0   0  -1  -1   997
   1   998   0   0  -1  -1   998
   1   999   0   0  -1  -1   111
   0  1000   4   4   0   1    10
   0  1001 160  88  72  -1  1001
   0  1002  32   8   0   4  1002
   2  1003  48  24   0   2  1003
   0  1004  84  36  12  -1   251
   1  1005   0   0  -1  -1  1005
   1  1006   0   0  -1  -1  1006
   1  1007   0   0  -1  -1  1007
   1  1008   0   0  -1  -1     7
   0  1009  80  36   8  -1  1009
   0  1010  56  24   8  -1  1010
   0  1011 144  64  16  -1  1011
   1  1012   0   0  -1  -1   253
   1  1013   0   0  -1  -1  1013
   1  1014   0   0  -1  -1     6
   1  1015   0   0  -1  -1  1015
   1  1016   0   0  -1  -1   254
   0  1017  32  24   8  -1   113
   0  1018  36  28   8  -1  1018
   0  1019 156  84  72  -1  1019
   1  1020   0   0  -1  -1   255
   1  1021   0   0  -1  -1  1021
   1  1022   0   0  -1  -1  1022
   1  1023   0   0  -1  -1  1023
   0  1024   2   2   0   1     1
   2  1025  32  16   0   2    41
   0  1026  16  12   4  -1   114
   0  1027  48  16   0   3  1027
   2  1028  64  32   0   2   257
   1  1029   0   0  -1  -1    21
   1  1030   0   0  -1  -1  1030
   1  1031   0   0  -1  -1  1031
   0  1032  16  12   4  -1   258
   0  1033  48  20   8  -1  1033
   0  1034  88  40   8  -1  1034
   0  1035  24   8   0   3   115
   0  1036  48  16   0   3   259
   1  1037   0   0  -1  -1  1037
   1  1038   0   0  -1  -1  1038
   1  1039   0   0  -1  -1  1039
   2  1040  32  16   0   2    65
   0  1041 144  60  24  -1  1041
   0  1042  24  16   8  -1  1042
   0  1043  96  64  32  -1  1043
   1  1044   0   0  -1  -1    29
   1  1045   0   0  -1  -1  1045
   1  1046   0   0  -1  -1  1046
   1  1047   0   0  -1  -1  1047
   1  1048   0   0  -1  -1   262
   0  1049 176  84   8  -1  1049
   0  1050   8   0  -1  -1    42
   0  1051  60  28   4  -1  1051
   1  1052   0   0  -1  -1   263
   1  1053   0   0  -1  -1    13
   1  1054   0   0  -1  -1  1054
   1  1055   0   0  -1  -1  1055
   0  1056  16   4   0   4    66
   2  1057  64  32   0   2  1057
   0  1058   2   2   0   1     2
   0  1059  72  40  32  -1  1059
   2  1060  32  16   0   2   265
   1  1061   0   0  -1  -1  1061
   1  1062   0   0  -1  -1   118
   1  1063   0   0  -1  -1  1063
   0  1064  40  16   8  -1   266
   0  1065  64  16   0   4  1065
   0  1066  40  24  16  -1  1066
   0  1067 144  56  32  -1  1067
   0  1068  24  16   8  -1   267
   1  1069   0   0  -1  -1  1069
   1  1070   0   0  -1  -1  1070
   1  1071   0   0  -1  -1   119
   0  1072  12   4   0   3    67
   2  1073  96  48   0   2  1073
   0  1074  64  36  28  -1  1074
   0  1075  12  12   0   1    43
   1  1076   0   0  -1  -1   269
   1  1077   0   0  -1  -1  1077
   1  1078   0   0  -1  -1    22
   1  1079   0   0  -1  -1  1079
   1  1080   0   0  -1  -1    30
   2  1081  64  32   0   2  1081
   0  1082  44  20   4  -1  1082
   0  1083   4   4   0   1     3
   1  1084   0   0  -1  -1   271
   1  1085   0   0  -1  -1  1085
   1  1086   0   0  -1  -1  1086
   1  1087   0   0  -1  -1  1087
   0  1088  16   4   0   4    17
   0  1089   2   2   0   1     1
   0  1090  24  16   8  -1  1090
   0  1091 204  92  20  -1  1091
   0  1092  32   8   0   4   273
   1  1093   0   0  -1  -1  1093
   1  1094   0   0  -1  -1  1094
   1  1095   0   0  -1  -1  1095
   0  1096  24   8   0   3   274
   0  1097 144  76  68  -1  1097
   0  1098  20  12   8  -1   122
   0  1099  72  40  32  -1  1099
   0  1100  12   4   0   3    11
   1  1101   0   0  -1  -1  1101
   1  1102   0   0  -1  -1  1102
   1  1103   0   0  -1  -1  1103
   1  1104   0   0  -1  -1    69
   2  1105  64  32   0   2  1105
   0  1106  96  56  40  -1  1106
   0  1107  24   8   0   3   123
   1  1108   0   0  -1  -1   277
   1  1109   0   0  -1  -1  1109
   1  1110   0   0  -1  -1  1110
   1  1111   0   0  -1  -1  1111
   1  1112   0   0  -1  -1   278
   2  1113  64  32   0   2  1113
   0  1114  44  20   4  -1  1114
   0  1115 120  56   8  -1  1115
   1  1116   0   0  -1  -1    31
   1  1117   0   0  -1  -1  1117
   1  1118   0   0  -1  -1  1118
   1  1119   0   0  -1  -1  1119
   1  1120   0   0  -1  -1    70
   0  1121 176  84   8  -1  1121
   2  1122  32  16   0   2  1122
   0  1123  60  28   4  -1  1123
   0  1124  80  44  36  -1   281
   1  1125   0   0  -1  -1     5
   1  1126   0   0  -1  -1  1126
   1  1127   0   0  -1  -1    23
   0  1128  16  16   0   1   282
   0  1129  64  24  16  -1  1129
   0  1130  88  40   8  -1  1130
   2  1131  96  48   0   2  1131
   0  1132  36  12   0   3   283
   1  1133   0   0  -1  -1  1133
   1  1134   0   0  -1  -1    14
   1  1135   0   0  -1  -1  1135
   1  1136   0   0  -1  -1    71
   0  1137  80  44  36  -1  1137
   0  1138  24  16   8  -1  1138
   0  1139 192 104  88  -1  1139
   1  1140   0   0  -1  -1   285
   1  1141   0   0  -1  -1  1141
   1  1142   0   0  -1  -1  1142
   1  1143   0   0  -1  -1   127
   1  1144   0   0  -1  -1   286
   2  1145  96  48   0   2  1145
   2  1146  64  32   0   2  1146
   0  1147  72  24   0   3  1147
   1  1148   0   0  -1  -1   287
   1  1149   0   0  -1  -1  1149
   1  1150   0   0  -1  -1    46
   1  1151   0   0  -1  -1  1151
   0  1152   2   2   0   1     2
   0  1153  64  48  16  -1  1153
   2  1154 112  56   0   2  1154
   2  1155  96  48   0   2  1155
   0  1156   2   2   0   1     1
   1  1157   0   0  -1  -1  1157
   1  1158   0   0  -1  -1  1158
   1  1159   0   0  -1  -1  1159
   0  1160  40  24  16  -1   290
   0  1161  48  20   8  -1   129
   0  1162  24  16   8  -1  1162
   0  1163  84  36  12  -1  1163
   2  1164  48  24   0   2   291
   1  1165   0   0  -1  -1  1165
   1  1166   0   0  -1  -1  1166
   1  1167   0   0  -1  -1  1167
   0  1168  16  12   4  -1    73
   2  1169 192  96   0   2  1169
   0  1170   8   8   0   1   130
   0  1171  84  44  40  -1  1171
   1  1172   0   0  -1  -1   293
   1  1173   0   0  -1  -1  1173
   1  1174   0   0  -1  -1  1174
   1  1175   0   0  -1  -1    47
   1  1176   0   0  -1  -1     6
   0  1177  48  20   8  -1  1177
   2  1178  32  16   0   2  1178
   0  1179  60  36  24  -1   131
   1  1180   0   0  -1  -1   295
   1  1181   0   0  -1  -1  1181
   1  1182   0   0  -1  -1  1182
   1  1183   0   0  -1  -1     7
   0  1184  20  12   8  -1    74
   2  1185  64  32   0   2  1185
   2  1186  48  24   0   2  1186
   0  1187 108  60  48  -1  1187
   0  1188  16  12   4  -1    33
   1  1189   0   0  -1  -1  1189
   1  1190   0   0  -1  -1  1190
   1  1191   0   0  -1  -1  1191
   0  1192  12  12   0   1   298
   0  1193 144  76  68  -1  1193
   0  1194  56  32  24  -1  1194
   2  1195  96  48   0   2  1195
   2  1196  96  48   0   2   299
   1  1197   0   0  -1  -1   133
   1  1198   0   0  -1  -1  1198
   1  1199   0   0  -1  -1  1199
   0  1200   4   4   0   1     3
   2  1201  64  32   0   2  1201
   0  1202  48  28  20  -1  1202
   0  1203  72  48  24  -1  1203
   1  1204   0   0  -1  -1   301
   1  1205   0   0  -1  -1  1205
   1  1206   0   0  -1  -1   134
   1  1207   0   0  -1  -1  1207
   1  1208   0   0  -1  -1   302
   0  1209 160  72  16  -1  1209
   0  1210   4   4   0   1    10
   0  1211 168  88  80  -1  1211
   1  1212   0   0  -1  -1   303
   1  1213   0   0  -1  -1  1213
   1  1214   0   0  -1  -1  1214
   1  1215   0   0  -1  -1    15
   0  1216  12   4   0   3    19
   2  1217 128  64   0   2  1217
   0  1218  48  32  16  -1  1218
   0  1219  72  40  32  -1  1219
   0  1220  64  24  16  -1   305
   1  1221   0   0  -1  -1  1221
   1  1222   0   0  -1  -1  1222
   1  1223   0   0  -1  -1  1223
   2  1224   8   4   0   2    34
   0  1225   2   2   0   1     1
   0  1226  84  52  32  -1  1226
   0  1227  48  32  16  -1  1227
   0  1228  36  28   8  -1   307
   1  1229   0   0  -1  -1  1229
   1  1230   0   0  -1  -1  1230
   1  1231   0   0  -1  -1  1231
   1  1232   0   0  -1  -1    77
   2  1233  32  16   0   2   137
   0  1234  48  20   8  -1  1234
   0  1235 144  80  64  -1  1235
   1  1236   0   0  -1  -1   309
   1  1237   0   0  -1  -1  1237
   1  1238   0   0  -1  -1  1238
   1  1239   0   0  -1  -1  1239
   1  1240   0   0  -1  -1   310
   2  1241 128  64   0   2  1241
   2  1242  16   8   0   2   138
   0  1243  48  32  16  -1  1243
   1  1244   0   0  -1  -1   311
   1  1245   0   0  -1  -1  1245
   1  1246   0   0  -1  -1  1246
   1  1247   0   0  -1  -1  1247
   1  1248   0   0  -1  -1    78
   2  1249 128  64   0   2  1249
   0  1250   2   2   0   1     2
   0  1251  36  20  16  -1   139
   2  1252  32  16   0   2   313
   1  1253   0   0  -1  -1  1253
   1  1254   0   0  -1  -1  1254
   1  1255   0   0  -1  -1  1255
   0  1256  52  28  24  -1   314
   0  1257  80  60  20  -1  1257
   0  1258  24  16   8  -1  1258
   0  1259 180  92  88  -1  1259
   0  1260  24   8   0   3    35
   1  1261   0   0  -1  -1  1261
   1  1262   0   0  -1  -1  1262
   1  1263   0   0  -1  -1  1263
   1  1264   0   0  -1  -1    79
   0  1265 160  72  16  -1  1265
   0  1266  64  28   8  -1  1266
   0  1267  72  40  32  -1  1267
   1  1268   0   0  -1  -1   317
   1  1269   0   0  -1  -1   141
   1  1270   0   0  -1  -1  1270
   1  1271   0   0  -1  -1  1271
   1  1272   0   0  -1  -1   318
   0  1273  80  60  20  -1  1273
   0  1274  12   4   0   3    26
   0  1275  24  16   8  -1    51
   1  1276   0   0  -1  -1   319
   1  1277   0   0  -1  -1  1277
   1  1278   0   0  -1  -1   142
   1  1279   0   0  -1  -1  1279
   1  1280   0   0  -1  -1     5
   0  1281  96  56  40  -1  1281
   2  1282  24  12   0   2  1282
   0  1283 132  52  28  -1  1283
   0  1284  80  44  36  -1   321
   1  1285   0   0  -1  -1  1285
   1  1286   0   0  -1  -1  1286
   1  1287   0   0  -1  -1   143
   0  1288  16   0  -1  -1   322
   0  1289 144  76  68  -1  1289
   0  1290  32   8   0   4  1290
   0  1291 108  68  40  -1  1291
   2  1292  48  24   0   2   323
   1  1293   0   0  -1  -1  1293
   1  1294   0   0  -1  -1  1294
   1  1295   0   0  -1  -1  1295
   0  1296   2   2   0   1     1
   0  1297  48  12   0   4  1297
   0  1298  64  28   8  -1  1298
   0  1299  96  56  40  -1  1299
   1  1300   0   0  -1  -1    13
   1  1301   0   0  -1  -1  1301
   1  1302   0   0  -1  -1  1302
   1  1303   0   0  -1  -1  1303
   1  1304   0   0  -1  -1   326
   2  1305  32  16   0   2   145
   0  1306  36  20  16  -1  1306
   0  1307 132  60  12  -1  1307
   1  1308   0   0  -1  -1   327
   1  1309   0   0  -1  -1  1309
   1  1310   0   0  -1  -1  1310
   1  1311   0   0  -1  -1  1311
   0  1312   8   8   0   1    82
   0  1313  96  64  32  -1  1313
   0  1314  32  12   8  -1   146
   0  1315  72  40  32  -1  1315
   0  1316  96  56  40  -1   329
   1  1317   0   0  -1  -1  1317
   1  1318   0   0  -1  -1  1318
   1  1319   0   0  -1  -1  1319
   2  1320  16   8   0   2   330
   2  1321  96  48   0   2  1321
   0  1322  84  52  32  -1  1322
